Gene Name,Group,G4E,# of Variants,Constraint p-value,GERP p-value,Pathogenicity p-value,pLoF p-value,Missense p-value,Epi25 DM p-value,Epi25 PTV p-value,Unified Model p-value
FRMD6,DEE,False,128,0.0001916628681857853,0.003922888230744503,0.8144722144653986,2.592247698685075e-06,3.170671063666857e-05,,0.065063,1.62622734444289e-05
HNMT,DEE,False,29,6.22271591200777e-07,0.7897922838010512,0.40429015179271754,0.012694658439642879,0.000618273787973208,,0.99784,1.730580546290932e-05
APC,DEE,False,621,1.0239281518391094e-06,0.1506676983029976,0.4033572823610341,6.084443264595406e-06,1.5832661962135685e-11,,0.90282,1.7377856471107804e-05
NPHP3,GGE,False,264,1.6815236200344203e-05,0.004993712914259125,0.43909105036819474,0.01465548271075946,0.061547902128233994,,0.80746,1.7647385546725292e-05
IFIT2,DEE,False,114,0.2701029125506206,0.1597551624126058,5.305255558229253e-07,0.0002507904755197007,1.6846220317272035e-06,,,1.7835974389640647e-05
NPRL2,NAFE,True,80,0.8406895977461395,0.12192206859149403,0.030906254635085378,3.792338029587472e-07,0.0007594688960518621,,3.6181e-05,1.97181953982383e-05
KATNBL1,DEE,False,43,0.041366006833009866,0.0005759319792253293,0.0560502552508326,0.0018247254488747858,1.0230046606695092e-08,,0.5546,1.996521930444328e-05
RBBP9,DEE,False,51,2.4854681785739954e-06,0.761586720539375,0.16053221525050573,0.33739274797551266,8.021123859811573e-05,,0.60928,2.1367206574751693e-05
C1orf52,GGE,False,60,0.35190166027543157,0.8439762233927353,0.5113716748641428,2.335646198599772e-08,0.02016634667082922,,0.12291,2.140709176792257e-05
MOK,DEE,False,118,0.6851455949696282,4.7538383494260245e-07,0.48220519339273704,4.7372981091433634e-08,8.380133235235241e-16,,0.64752,2.248190109446812e-05
LGI1,NAFE,True,98,0.25115172644681477,0.5600835716712571,0.002918210690668928,4.6824851657773544e-05,0.02402070860804002,0.0078808,1.3712e-05,2.3656747512873017e-05
SP4,EPI,False,285,0.7845711739579281,0.38717855513927,0.9580260919870244,0.9855194696087264,0.01980538201196683,0.61669,0.12304,2.3979942494488116e-05
CA7,DEE,False,38,0.9123779741176934,0.026024283363707205,0.9122019514689265,0.2616103990266877,0.7099429038628309,0.52326,0.097458,2.5084155190389388e-05
NBEA,DEE,True,316,0.03153192916173958,0.9304878333219243,0.5481547334073427,3.593164596455478e-13,0.42186186894582933,0.95052,0.0001639,2.7921453987849303e-05
SIGLEC6,DEE,False,96,1.1466951024328423e-06,0.37527499370029294,0.10849025490975614,5.344263444965848e-05,1.092038368486799e-08,,0.65314,2.8707511360864942e-05
PHF20,GGE,False,176,0.0016848431280495385,0.4060344918508817,0.31543500816356707,4.3859432076926844e-06,0.017874922230472733,,0.004873,2.9017110231074912e-05
PYCARD,DEE,False,55,0.19326981819546052,0.4339286615020914,4.943194403295264e-05,0.0010966188913152275,1.1509637530691817e-10,0.15659,0.6878,2.9926394867353283e-05
KRT20,DEE,False,113,1.574898523506546e-05,0.05302175151226057,0.3784321802592411,0.18835772803883263,7.383970035659552e-12,,0.5673,2.9929307168465703e-05
PATE1,DEE,False,33,0.17825401321459605,0.01308264556393593,0.07460082930915991,0.3143160508186316,3.436626932340853e-13,,,3.0122508861573623e-05
LMO7,GGE,False,373,3.166844224284306e-06,0.20831034576291113,6.007266220825305e-17,1.967074838607161e-05,1.4581427106467998e-27,,0.89335,3.1131995266088725e-05
KRTAP10-5,DEE,False,118,0.11000934335437995,0.032027643464157235,1.4424175631881152e-38,1.9858981763238416e-21,9.874651475452692e-39,,0.54773,3.180374264860309e-05
BIRC6,GGE,False,805,4.1916467755027484e-05,0.416436227513476,0.9535478491032392,0.0003560306059104558,0.8860513291517049,0.93037,0.0019593,3.354862251583519e-05
TTC39B,GGE,False,165,2.1304092031067494e-05,0.4671290196052241,0.01998787274613846,0.11024767692453698,0.004229661067210608,,0.46298,3.502346415964554e-05
OR2A2,DEE,False,84,4.139053151200979e-06,0.05768667669641682,0.09171732763850617,0.057645492060769354,1.2276424731025765e-06,,,3.851890011553309e-05
HLA-DOB,DEE,False,32,0.600103476618034,0.6748210070986809,9.218009726363726e-07,0.00030953916897914345,1.270844284907365e-07,,0.56259,4.122308618876062e-05
LY6D,DEE,False,27,0.46840487953133714,0.9824241643106484,4.7197162003161265e-06,0.40596042343561134,8.22876824954997e-05,,,4.325753731398706e-05
TTLL7,DEE,False,155,2.851145638215948e-06,0.11792091558923726,0.3876463179909959,0.0012105954397051552,5.079903537575703e-09,,0.96647,4.352203873791801e-05
MED15,DEE,False,128,1.9368510453651477e-06,0.24365648262713704,0.2707049181418168,0.04808210991628016,0.001956780447299027,,0.3508,4.4698530182944013e-05
SCAPER,NAFE,False,253,0.3299352730118935,0.15561939773056258,8.50753574986063e-07,0.09021763331890767,0.27413716979984815,0.77846,0.59792,4.694885011254519e-05
GRIK2,DEE,True,73,0.020973060536733156,0.7710790614300691,0.020622294820888166,0.001228701356716106,0.8397807555618495,0.36883,0.11563,4.741971472193134e-05
TRAPPC5,DEE,False,38,0.00015766848931048072,0.3487201148925003,0.9159835283009142,2.8037109486408535e-06,0.3428677785274101,0.94003,0.010536,4.745994830334231e-05
ZNF462,GGE,False,465,0.10445105057978418,0.6334172827811939,0.2571587701447065,1.590259361635781e-07,0.045685520547108956,0.48717,0.0025362,5.146094479101579e-05
PAK5,GGE,False,166,0.13276584496912913,0.7096958709383132,0.1442122703935904,2.2185643606437202e-11,0.5190262171181408,,0.26857,5.273464279372048e-05
ENAH,NAFE,False,115,0.0312542616341469,0.8548330762935351,0.3279681108624415,0.09982023052289124,0.9239596451845986,,0.013675,5.349531263280884e-05
AZGP1,DEE,False,88,6.981126842257536e-05,0.3613078802681863,0.22902191577600153,5.1588152767843996e-08,0.0007912838183982557,,0.13872,5.614218912062707e-05
