Gene ID,Gene Name,Group,# of Variants,Constraint p-value,GERP p-value,Pathogenicity p-value,pLoF p-value,Missense p-value,Unified Model p-value,SCHEMA p-value
ENSG00000005379,TSPOAP1,meta,573,0.05273000528713775,0.33537462888698555,0.8533918397303666,0.562222862659525,0.6833091910079052,0.3417266790443054,0.0998
ENSG00000005381,MPO,meta,355,0.5856116571673594,0.5819127327124811,0.017141464448688255,0.011819474975755912,0.017527180247450962,0.11503137672551923,0.929
ENSG00000005421,PON1,meta,139,0.8146827165535935,0.6968055453358973,0.39052473975508695,0.39521947782462596,0.0006168200810153003,0.7833353031271135,0.954
ENSG00000005436,GCFC2,meta,48,0.33603991350820495,0.12337468983300619,0.19249976317226952,0.4285030888245428,0.03260424214528361,0.35541326674105217,0.593
ENSG00000005448,WDR54,meta,148,0.556394057096922,0.6341494810526755,0.20080307304517286,0.03789231178701908,0.1417535845560493,0.6415289308591706,0.232
ENSG00000005469,CROT,meta,215,0.2679311858280222,0.9683458694653155,0.6794063133407335,0.09957448642074543,0.0004124462155043666,0.8163849555543876,0.771
ENSG00000005471,ABCB4,meta,428,0.5917127706421716,0.6141593296124078,0.8508643189525412,0.019876625424024692,0.033514131817074064,0.8922878455343943,0.936
ENSG00000005483,KMT2E,meta,602,0.17599931085325948,0.03608267265028462,0.21205761458745262,0.18977007962146522,0.07866772179792138,0.05372455581598149,0.0918
ENSG00000005486,RHBDD2,meta,121,0.03631331895834164,0.07218710470895774,0.30893245914452666,0.5641651619800148,0.06224671743349377,0.08388470768241854,1.0
ENSG00000005513,SOX8,meta,96,0.546157502134222,0.9193446169004242,0.1854903224297752,0.5960810693650177,0.1924351737861363,0.6117801379747876,1.0
ENSG00000005700,IBTK,meta,294,0.003997280805266986,0.7175258101300312,0.7824223014052556,0.9286721353487706,4.207242534669177e-05,0.02418880683544273,0.196
ENSG00000005801,ZNF195,meta,160,0.8668896333745938,0.5223324787931668,0.48865485017397714,0.017609314278333732,0.07421883231626783,0.8284741975432091,0.54
ENSG00000005810,MYCBP2,meta,1137,0.9239808053683216,0.20220162100430833,0.6384533670214123,0.00029353178553438784,0.19927221247848684,0.21668005392568382,0.207
ENSG00000005812,FBXL3,meta,80,0.5643496342225282,0.8955502828461722,0.8516095010896265,0.3308008031755849,0.2991708602793285,0.9765536054201577,0.531
ENSG00000005844,ITGAL,meta,386,0.005862635132910762,0.21103365936897164,0.08322384425624949,0.9062574403988191,0.6828786572466677,0.05144452841546714,1.0
ENSG00000005882,PDK2,meta,98,0.41301452956991347,0.2911641135516985,0.9016909690025747,0.6773423820573049,0.0012918325043407527,0.39026320361000555,0.206
ENSG00000005884,ITGA3,meta,338,0.10026999491916054,0.3810264868469546,0.1896660533010804,0.22958214328955048,0.0007110356250410285,0.2699775121946462,0.932
ENSG00000005961,ITGA2B,meta,387,0.5289746388096892,0.9607167952240516,0.894234696387114,0.008034110015843293,0.009518176754637517,0.9059526931304799,0.526
ENSG00000005981,ASB4,meta,195,0.3390201884757712,0.4301513350726319,0.022957803538941484,0.028447769048713063,0.09428619850932218,0.0882678646177292,0.412
ENSG00000006007,GDE1,meta,88,0.9643883919079121,0.049035415665881654,0.8128475331323747,0.9972454967687499,0.012494036368407332,0.3176858538500086,0.444
ENSG00000006016,CRLF1,meta,157,0.03732758075003223,0.5035734925720703,0.5109722857295916,0.14292537075285294,0.2334577000268102,0.17212274897354624,0.548
