Gene ID,Gene Name,Group,Constraint p-value,Pathogenicity p-value,pLoF p-value,Unified Model p-value,Epi25 p-value
ENSG00000007129,CEACAM21,DEE,0.914494716693402,0.760767684615144,0.3259333189797944,0.7648137989154173,
ENSG00000007168,PAFAH1B1,DEE,0.6835839916924666,0.4518018958256725,,0.7435013578111791,0.94455
ENSG00000007171,NOS2,DEE,0.8909529565361296,0.2206582842613809,0.2626781610206471,0.4105837149415648,0.87342
ENSG00000007174,DNAH9,DEE,0.0029810987259297,0.0605519248562786,0.6810198377278995,0.0049035229810133,
ENSG00000007216,SLC13A2,DEE,0.009653744780994,0.6281596854038345,0.5639995343138724,0.0406351343547621,
ENSG00000007237,GAS7,DEE,0.2805497364689766,0.4593324118459529,0.9661135695786678,0.5642362833580881,0.99819
ENSG00000007255,TRAPPC6A,DEE,0.4477707904857664,0.4138527085667038,0.8091533880634848,0.751218403851073,
ENSG00000007264,MATK,DEE,0.2214055378542567,0.3163918381577087,0.9709625268416482,0.5545929271640849,
ENSG00000007306,CEACAM7,DEE,0.9313819490681884,0.0379907618144122,0.5179250778099257,0.1910520885708303,
ENSG00000007312,CD79B,DEE,0.6562244431553608,0.4944184700798245,,0.7354603064637305,
ENSG00000007314,SCN4A,DEE,0.7304288726709511,0.3589655806696414,0.7547785371067619,0.7784082915980585,
ENSG00000007341,ST7L,DEE,0.0392905483895711,0.3042183560570572,0.261123618476265,0.1159911110556372,
ENSG00000007376,RPUSD1,DEE,0.6758341740611513,0.0146417700893171,0.5831039388521535,0.0906661901290953,
ENSG00000007384,RHBDF1,DEE,0.3881526008150736,0.6813747928919458,0.7368796340468132,0.799630990540744,0.82521
ENSG00000007392,LUC7L,DEE,0.9524931745982091,0.2997777892855072,0.9113735367026372,0.7775286855066355,
ENSG00000007402,CACNA2D2,DEE,0.7782508470576024,0.0839775348756349,0.0508728754729722,0.0437359982986825,0.068298
