gene_id	gene_name	group	n_variants	p_constraint	p_gerp	p_pathogenicity	p_pLoF	p_missense	p_unified
ENSG00000001626	CFTR	ASJ (exomes)	8	0.6806201727525996	0.5903226595428686	0.5441417520287277		0.5853167928188259	0.8921973725671986
ENSG00000001626	CFTR	EAS (exomes)	21	0.3005825084413251	0.510672095248206	0.7046302718597824	0.7062939688106848	0.8726310292626458	0.7381914507635785
ENSG00000001626	CFTR	EST (genomes)	10	0.5062855755634692	0.0256968131783821	0.043931115248066234	0.06189319807193233	0.3902399935877351	0.1334474852211988
ENSG00000001626	CFTR	EUR (exomes)	199	0.8909013197931196	0.8239932823721456	0.4784921151073701	0.2589337342174505	0.5175529659633028	0.9574084027904091
ENSG00000001626	CFTR	EUR-N (exomes)	77	0.25063349756659253	0.050998753132400376	0.05616894612705591	0.035352101641310085	0.4012361750208774	0.017352042242503
ENSG00000001626	CFTR	FIN (exomes)	13	0.0010529228467742575	4.865675580989643e-06	0.323858003301466	0.0040132343543915665	0.0005181980474734532	1.69653389960599e-05
ENSG00000001626	CFTR	FIN (genomes)	4						
ENSG00000001626	CFTR	Finnish_genomes_FIN	1						nan
ENSG00000001626	CFTR	GPC_genomes_AFR	1						nan
ENSG00000001626	CFTR	SAS (exomes)	3						
ENSG00000001626	CFTR	meta	571	0.2500273550118999	0.10516930859252199	0.0042743550396057185	0.027472747539933517	0.0002926736622857603	0.025232779345936863
ENSG00000001629	ANKIB1	AFR (exomes)	5	0.4862109243715748	0.36537454400309366	0.1371704343285008		0.851577557838414	0.24769279923601692
ENSG00000001629	ANKIB1	AFR (genomes)	13	0.12181479829921288	0.010171659226270316	0.903389656965085		0.00012786987631371952	0.04222713953264854
ENSG00000001629	ANKIB1	AMR (exomes)	17	0.9773156307922671	0.747210074157443	0.7542348745730986		0.7939691024338397	0.9815212006267984
ENSG00000001629	ANKIB1	ASJ (exomes)	2						
ENSG00000001629	ANKIB1	EAS (exomes)	11	0.4876872632254867	0.7141408720732616	0.2827810070370867		0.5819447367516957	0.4710639028393869
ENSG00000001629	ANKIB1	EST (genomes)	6	0.10105504459645581	0.07924198205868264	0.16014811694837602	0.9330279481283752	0.08168824256036863	0.12370460789964718
ENSG00000001629	ANKIB1	EUR (exomes)	68	0.26836686304947455	0.19861585254715255	0.3095542200255488	0.5777768683390833	0.5023297802732898	0.16814247802634621
ENSG00000001629	ANKIB1	EUR-N (exomes)	26	0.6918147286425713	0.9871379545951229	0.9116824566501285	0.34079781178395696	0.6415235399450137	0.8651324962156202
ENSG00000001629	ANKIB1	FIN (exomes)	9	0.6767222321172894	0.5910123834967277	0.9514865849646013		0.009526322441334906	0.928442955045408
ENSG00000001629	ANKIB1	FIN (genomes)	4						
ENSG00000001629	ANKIB1	SAS (exomes)	2						
ENSG00000001629	ANKIB1	meta	233	0.45149056444296076	0.2207319800249749	0.3688446706951769	0.016245772860517482	0.5962547975413492	0.11699501563711008
ENSG00000001630	CYP51A1	AFR (genomes)	9	0.7591652882698329	0.3905896938344392	0.3805466502800066	0.24582828138547266	0.5924809299284086	0.5511653071257532
ENSG00000001630	CYP51A1	AMR (exomes)	10	0.43912036976839974	0.9584732400042484	0.4386209878055907	0.4375031156667896	0.4520473683993711	0.787844256757904
ENSG00000001630	CYP51A1	ASJ (exomes)	1						nan
ENSG00000001630	CYP51A1	EAS (exomes)	8	0.7911925739367816	0.2142962808195124	0.12317515615676576		0.12317515615676586	0.4086689570806691
ENSG00000001630	CYP51A1	EST (genomes)	8	0.7690319125087625	0.7725356078950613	0.6999528219051985	0.524402614779144	0.9312992561551993	0.722829848350228
ENSG00000001630	CYP51A1	EUR (exomes)	46	0.3094464180405782	0.5329504630210431	0.4751042140799495	0.38280562904908155	0.8500314549493755	0.6053774716183578
ENSG00000001630	CYP51A1	EUR-N (exomes)	24	0.13183889529869228	0.2864123477481616	0.15270907285676727	0.6090140807499558	0.016879681330416972	0.28330099200858117
ENSG00000001630	CYP51A1	FIN (exomes)	5	0.697892234721031	0.6061435968532515	0.697892234721031	0.6244376462165451	0.7869936065705335	0.6914795588853503
ENSG00000001630	CYP51A1	meta	155	0.5214200680042221	0.6471163379269884	4.507685210947912e-06	0.0005319993465159144	4.604159372576508e-05	0.6390916612451079
ENSG00000001631	KRIT1	AFR (exomes)	3						
ENSG00000001631	KRIT1	AFR (genomes)	10	0.37963258906100983	0.1053519748717314	0.9668307609861261	0.9683616311425605	0.02822449281664293	0.1287905967174327
ENSG00000001631	KRIT1	AMR (exomes)	14	0.3679062614943963	0.7688527238249477	0.10393276449469886		0.7164141223069058	0.3006869931921952
ENSG00000001631	KRIT1	EAS (exomes)	6	0.6596058090082135	0.8909893593963598	0.9448155099674429		0.8876668907704202	0.9164806867875434
ENSG00000001631	KRIT1	EST (genomes)	6	0.5974718040120586	0.8890405204488003	0.6815555590734224		0.8498476908612522	0.6446700752879572
ENSG00000001631	KRIT1	EUR (exomes)	49	0.6783354933939282	0.03664466764756919	0.5581030999318185	0.9901765425924394	0.02409477058806225	0.15015489816342764
ENSG00000001631	KRIT1	EUR-N (exomes)	19	0.19230730110431773	0.018727014546027217	0.04290402690679896	0.3632567327939924	0.07521991499721138	0.03954296743100261
ENSG00000001631	KRIT1	FIN (exomes)	2						
ENSG00000001631	KRIT1	SAS (exomes)	1						nan
ENSG00000001631	KRIT1	meta	160	0.3358900698056815	0.012658437308905703	0.4114350591381314	0.38037397533066597	5.017737777801752e-05	0.04010499834275568
ENSG00000002016	RAD52	AFR (exomes)	2						
ENSG00000002016	RAD52	AFR (genomes)	17	0.37678172726480097	0.37158062631518163	0.41420800109157385	0.6916055489849776	0.716934876217872	0.758394773872488
ENSG00000002016	RAD52	AMR (exomes)	12	0.5461453033507492	0.08567655955397697	0.8844340030534534	0.9317093061132442	0.9725059501973943	0.3050835591838863
ENSG00000002016	RAD52	ASJ (exomes)	1						nan
ENSG00000002016	RAD52	EAS (exomes)	16	0.3582994894282936	0.09649669747301598	0.5379443497806617		0.7759610856858736	0.30543942008162484
ENSG00000002016	RAD52	EST (genomes)	6	2.6498811787909788e-05	0.3892231098683089	3.53888428520278e-05		1.4761829908442999e-06	3.437870543344412e-05
ENSG00000002016	RAD52	EUR (exomes)	37	0.3508634743223421	0.6524350021844171	0.4311034217999179	0.3354632055141292	0.069895230959273	0.5464283814364801
ENSG00000002016	RAD52	EUR-N (exomes)	33	0.8744473701095	0.003253220524314078	0.9147403160180088	0.08497812630664338	0.1515896123216338	0.04040535369689037
ENSG00000002016	RAD52	FIN (exomes)	11	0.4646218611476556	0.82892788182937	0.3841768180211135	0.5913787337546705	0.6677066365055986	0.7260375118153274
ENSG00000002016	RAD52	FIN (genomes)	1						nan
