Gene ID,Gene Name,Group,# of Variants,Constraint p-value,GERP p-value,Pathogenicity p-value,pLoF p-value,Missense p-value,Unified Model p-value,Epi25 DM p-value,Epi25 PTV p-value,G4E,Epi25 min p-value
ENSG00000005020,SKAP2,DEE,35,0.7492656366617424,0.9904861756689749,0.7706958271767795,0.007726772260506708,0.0004064365503466524,0.9907606025829148,,0.69585,False,0.69585
ENSG00000005073,HOXA11,DEE,43,0.4108504275363921,0.07844869920184629,0.21618698737363612,,3.244245921889385e-09,0.1972350963339839,0.096297,,False,0.096297
ENSG00000005075,POLR2J,DEE,25,0.9064852203186107,0.8363247478199628,0.9325532140278703,0.06504182318353334,0.0019082040901945278,0.9992076980639563,0.97994,0.26956,False,0.26956
ENSG00000005100,DHX33,DEE,179,0.9963272462327952,0.3589733635653596,0.45951799776370916,1.1003396696142505e-07,1.920628119289889e-09,0.5136355816143894,,0.05096,False,0.05096
ENSG00000005102,MEOX1,DEE,71,0.9642717737605997,0.25907163469213873,0.4538019001074385,0.042957092128485336,0.0002522015766097241,0.7493612781382052,,0.74585,False,0.74585
ENSG00000005108,THSD7A,DEE,774,0.0027680218881803347,7.449027278925732e-05,0.8124336755417116,0.0023480204095148115,3.761440124331557e-08,0.0001383976096248888,,0.86115,False,0.86115
ENSG00000005156,LIG3,DEE,218,0.5930517149393857,0.3392770410114029,0.8109048078810068,0.00024555343002536213,2.7372096240768914e-14,0.7903277292590494,,0.88438,True,0.88438
ENSG00000005175,RPAP3,DEE,85,0.8300022477687738,0.050249927779208114,0.4093328693951176,3.738627470652853e-05,3.047269259654675e-10,0.19806255880143542,,0.69037,False,0.69037
ENSG00000005187,ACSM3,DEE,166,0.7881214793564082,0.5470078076879923,0.7361913882849185,1.2430749878112446e-11,1.0466734207179237e-16,0.7836520369692003,,0.55353,False,0.55353
ENSG00000005189,REXO5,DEE,110,0.9925735917974494,0.7501612285880537,0.2707017448368226,0.0351092934050797,3.045787707329775e-08,0.7625741543957172,,0.46348,False,0.46348
ENSG00000005194,CIAPIN1,DEE,67,0.009529247780485995,0.001953635404374013,0.8471183342248617,0.014407320548119561,7.37894719494407e-05,0.003298539596371079,,0.97579,False,0.97579
ENSG00000005206,SPPL2B,DEE,157,0.8550609063443656,0.6460970952145988,0.50394068168859,0.00033385695725212603,0.2710800719503495,0.29606651847867205,,0.078343,False,0.078343
ENSG00000005243,COPZ2,DEE,48,0.7631544795789538,0.5081506309223175,0.717481957584571,0.11228434901925836,2.849472195028047e-07,0.5603322959435473,,0.80485,False,0.80485
ENSG00000005249,PRKAR2B,DEE,28,0.8699787290741443,0.13678352558561133,0.3520777355432989,0.6000921270042061,0.050212889335060906,0.5615015598311237,0.17596,0.85518,False,0.17596
ENSG00000005339,CREBBP,DEE,373,0.0014143062861787692,0.3705840258291655,0.037357679521644024,0.009315096851804462,3.1557706485060727e-06,0.0008987783548060197,0.12092,0.65313,True,0.12092
ENSG00000005379,TSPOAP1,DEE,419,0.0028791353009565007,0.1745371958150754,0.8353563883655178,4.442277300780933e-05,7.936062131276814e-12,0.019014190664068096,,0.59918,False,0.59918
ENSG00000005381,MPO,DEE,218,0.25699301320117235,0.391120402188014,0.019917759865601056,2.9942353162370585e-06,4.456616088335313e-14,0.08163821513166034,,0.34446,False,0.34446
ENSG00000005421,PON1,DEE,84,0.8515648039115893,0.5901893182141791,0.21251837159165377,5.283611862980809e-06,1.1883110308767757e-10,0.7520346651147094,,0.94269,False,0.94269
ENSG00000005436,GCFC2,DEE,32,0.8772300664963741,0.5494758828616786,0.7469189046279494,0.6770871134313337,0.10936014354930693,0.9809169952870861,,0.76256,False,0.76256
ENSG00000005448,WDR54,DEE,85,0.9357022210985538,0.498315010658655,0.7234792254447067,0.00021044700977498464,1.7190551322449559e-07,0.9671210117508363,,0.35294,False,0.35294
ENSG00000005469,CROT,DEE,112,0.801911778856931,0.12623432801680037,0.902426336538712,6.964404390699422e-05,9.041213512621294e-07,0.6448297664932177,,0.81818,False,0.81818
ENSG00000005471,ABCB4,DEE,225,0.9931618224029203,0.5108523912101914,0.8530406285619911,2.393584949239522e-12,4.382754706839672e-08,0.10220817095759938,,0.0077031,False,0.0077031
ENSG00000005483,KMT2E,DEE,355,0.20496163178197255,0.08620660929382716,0.61784927325848,2.3527160742016053e-06,5.739679012368741e-10,0.21597051452619165,,0.24705,True,0.24705
ENSG00000005486,RHBDD2,DEE,78,0.7907663213087911,0.23899357771939367,0.7715302708838121,0.0029526967020827195,5.5387008210702006e-05,0.7942440477393755,,0.34729,False,0.34729
ENSG00000005513,SOX8,DEE,110,0.8286683666524973,0.3423609968706368,0.9010836972336436,0.2358787899428615,0.03870666618588173,0.9037002730878274,,,False,
ENSG00000005700,IBTK,DEE,143,0.47517091695525226,0.18860648509070416,0.7251674200241512,4.966912187463909e-05,2.1192612381477916e-11,0.6619401322064042,0.51877,0.8784,False,0.51877
ENSG00000005801,ZNF195,DEE,105,0.9999481338846296,0.6318141294508373,0.44176121018570325,0.44985476539658065,0.3114455844291161,0.8180675365412948,,0.97561,False,0.97561
ENSG00000005812,FBXL3,DEE,35,0.5839965474804978,0.45742787253090134,0.14615065369712366,0.2269386257653727,0.07685214286061726,0.6808864845404687,0.049962,0.3059,False,0.049962
ENSG00000005844,ITGAL,DEE,224,0.508306750042588,0.4652495410181551,0.7271920254501055,2.3423921296821272e-05,0.00016344151694600362,0.5145361969168742,0.85375,0.1067,False,0.1067
ENSG00000005882,PDK2,DEE,60,0.6251310531538017,0.22333192137900548,0.006029276390857414,0.0012131763978313428,4.739141946935449e-05,0.0628795395580541,,0.53959,False,0.53959
ENSG00000005884,ITGA3,DEE,208,0.29672819320490806,0.5159900325229566,0.7795288752835301,8.258109866313996e-05,6.226250876949807e-12,0.7585252061217435,,0.75202,False,0.75202
ENSG00000005961,ITGA2B,DEE,209,0.8860181941328783,0.06951379274529595,0.5158594204340792,3.367253574151326e-05,3.206636822353793e-13,0.4685996750669461,0.97076,0.71229,False,0.71229
ENSG00000005981,ASB4,DEE,119,0.8517880343886644,0.6818124743312216,0.6285376969126214,3.633121248851792e-07,1.7670897347490174e-11,0.9565164390632598,,0.97558,False,0.97558
ENSG00000006007,GDE1,DEE,51,0.8451703464198344,0.025259220807163335,0.2168182227085766,9.367539881769531e-06,1.4466079243088477e-07,0.1354663058812099,,0.47144,False,0.47144
ENSG00000006015,REX1BD,DEE,37,0.15360621906208816,0.8160741297288455,0.22467748651826006,0.00031383831450454864,0.24931310579732718,0.012056435729424664,,0.044488,False,0.044488
ENSG00000006016,CRLF1,DEE,104,0.014157839854991389,0.05429066955509299,0.8627301968670646,0.00786855997757935,1.0292270162196438e-05,0.03719874320052793,,0.99191,False,0.99191
ENSG00000006025,OSBPL7,DEE,177,0.7649075812754678,0.9787954690404115,0.17983106307749086,2.9759890784138927e-05,0.0010780497070378102,0.3443092349140318,,0.03805,False,0.03805
ENSG00000006042,TMEM98,DEE,59,0.630598416448132,0.17458684245356257,0.17300353115367373,0.0042603787094212114,0.0003855853720326897,0.5034224627322713,,0.25102,False,0.25102
ENSG00000006047,YBX2,DEE,50,0.44136158475856724,0.1846269109551385,0.33070193260090264,0.12248194352895968,0.09279414374414592,0.5972777498755055,0.47139,0.1163,False,0.1163
ENSG00000006059,KRT33A,DEE,156,0.85423409133559,0.15870717229950443,0.7461474662605351,0.013659344783778317,7.012863392566788e-13,0.433929370552115,,0.59413,False,0.59413
ENSG00000006062,MAP3K14,DEE,169,0.09220856051310541,0.7671127937972173,0.06741942661772979,0.028907490664292247,0.00039945243014477376,0.15873307604149495,,0.6712,False,0.6712
ENSG00000006071,ABCC8,DEE,364,0.18396433385380453,0.18666148382344772,0.7116252459439316,4.256065096589895e-08,1.906779931474827e-20,0.3812869690058257,0.1333,0.91599,False,0.1333
ENSG00000006118,TMEM132A,DEE,257,0.3499931324179577,0.7011871839051125,0.2922411664602584,1.2637500515383824e-07,1.0027938879706997e-06,0.25466915688083963,,0.44166,False,0.44166
ENSG00000006125,AP2B1,DEE,85,0.8768507991816851,0.3399284611003539,0.5730706016642346,0.0685963988409712,1.64620341721822e-05,0.8306715764162889,0.90007,0.50796,False,0.50796
ENSG00000006194,ZNF263,DEE,144,0.9461483725345056,0.09467860952910842,0.4632629081822357,0.0019226082187850024,2.5920014646545127e-06,0.4620405373373977,,0.54842,False,0.54842
ENSG00000006210,CX3CL1,DEE,89,0.4264831859650059,0.19370814590316784,0.6888374635223324,0.01394175185889595,0.006883934981202459,0.6540282995357138,,0.26659,False,0.26659
ENSG00000006282,SPATA20,DEE,221,0.6662187555327743,0.8459385939030079,0.7029372741714859,1.2702658041733576e-12,8.207830051981312e-19,0.8467133852963178,,0.94516,False,0.94516
ENSG00000006283,CACNA1G,DEE,446,0.3921874866432359,0.11004885599134262,0.6610612188943714,0.08511386111968694,9.301445940479518e-13,0.2722488021339264,0.35761,0.84878,True,0.35761
ENSG00000006432,MAP3K9,DEE,224,0.7388808023256636,0.3304690432157896,0.2969149371883667,0.0040938656091277755,5.85845881622978e-08,0.6962623141376006,,0.12969,False,0.12969
ENSG00000006453,BAIAP2L1,DEE,127,0.8936163476365625,0.6189705956055647,0.2013170446378647,0.000199706374645628,0.0007232752048404199,0.48950952313525675,,0.10085,False,0.10085
ENSG00000006459,KDM7A,DEE,108,0.17901674528496236,0.41608349150160584,0.8111401890298452,0.029498352786840397,5.42941670919261e-07,0.634284514298619,0.93116,0.075814,False,0.075814
ENSG00000006468,ETV1,DEE,100,0.24016677103823442,0.7273565688811084,0.003529668946608379,0.13907702303223546,7.570935158677205e-08,0.0247066649482464,,0.90651,False,0.90651
ENSG00000006530,AGK,DEE,102,0.8031529277161581,0.12660182586463556,0.15088468894036142,9.479345399873382e-10,1.2283954089876299e-06,0.06259397663864585,,0.093828,False,0.093828
ENSG00000006534,ALDH3B1,DEE,147,0.9977072274253836,0.4672336054134085,0.5460516520785004,0.006450069084883544,5.289455012952783e-10,0.8907733478031457,,0.62577,False,0.62577
ENSG00000006555,TTC22,DEE,110,0.07704396300449674,0.5123890466237371,0.9044950682898183,0.008562469432775931,7.798374296344467e-09,0.4247101446280799,,0.49976,False,0.49976
ENSG00000006576,PHTF2,DEE,67,0.23351218009158134,0.4751873853867934,0.9518334816790781,1.767909939258043e-08,0.2443586443014395,0.001431446248185997,0.76753,0.021983,False,0.021983
ENSG00000006607,FARP2,DEE,265,0.19494013168299681,0.14404256780100494,0.6124134427594679,4.258742017655717e-13,5.375407108786005e-13,0.07147088588824695,,0.011972,False,0.011972
ENSG00000006611,USH1C,DEE,273,0.12336344831312783,0.4916211273133281,0.14667732272842654,4.9018157201766044e-08,2.7936524497449773e-12,0.20768023373489675,,0.64333,False,0.64333
ENSG00000006634,DBF4,DEE,97,0.7463688668532339,0.6116925524450185,0.6885133851311598,0.13622768888324802,0.0036323835654713853,0.9547761439541427,,0.88795,False,0.88795
ENSG00000006638,TBXA2R,DEE,96,0.46948617664390424,0.023643138843949935,0.5166297035820242,0.06345686381654474,7.90891262046399e-09,0.2004700625712471,0.48184,0.44227,False,0.44227
ENSG00000006652,IFRD1,DEE,85,0.7243778523444061,0.7741546356786533,0.8580326745272852,0.0014215728833779921,2.3330209065168835e-05,0.9832288951793341,,0.64007,False,0.64007
ENSG00000006659,LGALS14,DEE,41,0.899446693049869,0.9159342636383281,0.8564111048849764,0.4086021116467078,5.557570681708621e-06,0.6463203588939235,,0.73522,False,0.73522
ENSG00000006695,COX10,DEE,115,0.8040799809327297,0.04732266998041747,0.2365341875703289,0.0014770782637816109,2.7496040286172292e-05,0.2426605262030414,,0.71993,True,0.71993
ENSG00000006704,GTF2IRD1,DEE,183,0.06332838685598564,0.8368912376713099,0.5719465064673032,0.05645099826346028,0.0036720124098168503,0.4479471540334896,,0.2314,False,0.2314
ENSG00000006712,PAF1,DEE,78,0.23904164114103887,0.8303279126340197,0.0862617939776129,0.028349859389316532,0.00014119278599909402,0.5300037155919328,0.28174,0.70465,False,0.28174
ENSG00000006715,VPS41,DEE,142,0.009701027240024754,0.873754115906844,0.13699651321025452,4.548041452580067e-05,2.0789582081637493e-11,0.03907450109525857,,0.65283,False,0.65283
ENSG00000006740,ARHGAP44,DEE,147,0.26860666797148425,0.24705794820370952,0.4335021085162142,9.95694987809592e-05,4.029125279670541e-07,0.5106939423305532,,0.98064,False,0.98064
ENSG00000006744,ELAC2,DEE,182,0.00013972085355409987,0.21051459662400124,0.8147399022547446,0.00010264943903391801,3.244968832931231e-19,0.0009098953034564938,,0.5744,False,0.5744
ENSG00000006747,SCIN,DEE,208,0.9548628282957425,0.19796645734237697,0.46181296416275663,1.5542000988834755e-06,1.9640375480829895e-12,0.7134047556488946,,0.76576,False,0.76576
ENSG00000006788,MYH13,DEE,505,0.08484072271276048,0.7239459497792788,0.012533818019009406,1.0782589900377884e-17,6.137975486100022e-20,0.006364011630170721,,0.13364,False,0.13364
ENSG00000006831,ADIPOR2,DEE,39,0.5714320360372487,0.49697598375704033,0.3339038813692221,0.06856059946145263,1.5138398282560518e-05,0.7395167941606995,0.61668,0.66272,False,0.61668
ENSG00000006837,CDKL3,DEE,88,0.9158976645806447,0.2676176632298056,0.6146116670713193,5.578754547287987e-06,6.33393480285869e-11,0.8408321132539125,,0.4936,False,0.4936
ENSG00000007001,UPP2,DEE,96,0.6172789268203965,0.3620891320939239,0.5787293242674251,0.5396820953660796,0.7896315539259162,0.8495084942900802,,0.22016,False,0.22016
ENSG00000007038,PRSS21,DEE,105,0.8166887672650223,0.6386786080233362,0.891374876430887,1.3501380754625091e-05,2.0844321089604958e-07,0.9679445743509318,,0.36172,False,0.36172
ENSG00000007047,MARK4,DEE,124,0.5594579573790069,0.39190847710605203,0.5920041256762325,0.07143868141239737,0.001955644222772401,0.8475884339217057,0.54137,0.22619,False,0.22619
