Gene ID,Gene Name,Group,# of Variants,Constraint p-value,GERP p-value,Pathogenicity p-value,pLoF p-value,Missense p-value,Unified Model p-value,Epi25 DM p-value,Epi25 PTV p-value
ENSG00000006047,YBX2,DEE,50,0.4413615847585674,0.1846269109551381,0.3307019326009025,0.1224819435289596,0.0927941437441459,0.5972777498755055,0.47139,0.1163
ENSG00000006059,KRT33A,DEE,156,0.8542340913355901,0.1587071722995045,0.7461474662605349,0.0136593447837783,7.012863392566788e-13,0.4339293705521126,,0.59413
ENSG00000006062,MAP3K14,DEE,169,0.0922085605131053,0.7671127937972174,0.0674194266177297,0.0289074906642923,0.0003994524301447,0.1587330760414931,,0.6712
ENSG00000006071,ABCC8,DEE,364,0.1839643338538046,0.1866614838234482,0.7116252459439328,4.2560650965899656e-08,1.906779931474827e-20,0.3812869690058257,0.1333,0.91599
ENSG00000006118,TMEM132A,DEE,257,0.3499931324179577,0.7011871839051127,0.2922411664602584,1.2637500515383824e-07,1.0027938879706997e-06,0.2546691568808396,,0.44166
ENSG00000006125,AP2B1,DEE,85,0.8768507991816853,0.3399284611003536,0.5730706016642343,0.0685963988409712,1.64620341721822e-05,0.8306715764162904,0.90007,0.50796
ENSG00000006194,ZNF263,DEE,144,0.9461483725345058,0.0946786095291085,0.4632629081822366,0.001922608218785,2.5920014646545127e-06,0.462040537337393,,0.54842
ENSG00000006210,CX3CL1,DEE,89,0.426483185965006,0.1937081459031676,0.6888374635223322,0.0139417518588959,0.0068839349812024,0.6540282995357105,,0.26659
ENSG00000006282,SPATA20,DEE,221,0.6662187555327745,0.8459385939030067,0.7029372741714857,1.2702658041733806e-12,8.207830051981192e-19,0.8467133852963178,,0.94516
ENSG00000006283,CACNA1G,DEE,446,0.3921874866432355,0.1100488559913426,0.6610612188943719,0.085113861119687,9.301445940479417e-13,0.2722488021339228,0.35761,0.84878
ENSG00000006432,MAP3K9,DEE,224,0.7388808023256634,0.3304690432157896,0.296914937188367,0.0040938656091277,5.85845881622978e-08,0.6962623141375958,,0.12969
ENSG00000006453,BAIAP2L1,DEE,127,0.893616347636562,0.6189705956055647,0.2013170446378647,0.0001997063746456,0.0007232752048404,0.4895095231352612,,0.10085
ENSG00000006459,KDM7A,DEE,108,0.1790167452849618,0.4160834915016059,0.8111401890298451,0.0294983527868404,5.42941670919257e-07,0.6342845142986127,0.93116,0.075814
ENSG00000006468,ETV1,DEE,100,0.2401667710382347,0.7273565688811084,0.0035296689466083,0.1390770230322357,7.570935158677177e-08,0.0247066649482462,,0.90651
ENSG00000006530,AGK,DEE,102,0.8031529277161586,0.1266018258646357,0.1508846889403611,9.479345399873382e-10,1.2283954089876229e-06,0.0625939766386448,,0.093828
ENSG00000006534,ALDH3B1,DEE,147,0.9977072274253836,0.4672336054134085,0.5460516520785004,0.0064500690848835,5.289455012952782e-10,0.8907733478031405,,0.62577
ENSG00000006555,TTC22,DEE,110,0.0770439630044968,0.5123890466237366,0.904495068289818,0.0085624694327759,7.798374296344467e-09,0.4247101446280867,,0.49976
ENSG00000006576,PHTF2,DEE,67,0.2335121800915815,0.4751873853867927,0.9518334816790778,1.7679099392580432e-08,0.2443586443014395,0.0014314462481859,0.76753,0.021983
ENSG00000006607,FARP2,DEE,265,0.1949401316829969,0.1440425678010048,0.6124134427594676,4.258742017655717e-13,5.375407108786005e-13,0.0714708858882469,,0.011972
ENSG00000006611,USH1C,DEE,273,0.1233634483131278,0.4916211273133281,0.1466773227284266,4.901815720176605e-08,2.793652449745008e-12,0.2076802337348999,,0.64333
ENSG00000006634,DBF4,DEE,97,0.7463688668532344,0.6116925524450187,0.6885133851311597,0.1362276888832481,0.0036323835654713,0.9547761439541428,,0.88795
ENSG00000006638,TBXA2R,DEE,96,0.4694861766439044,0.0236431388439499,0.5166297035820242,0.0634568638165447,7.908912620464046e-09,0.2004700625712505,0.48184,0.44227
ENSG00000006652,IFRD1,DEE,85,0.7243778523444064,0.7741546356786533,0.8580326745272854,0.0014215728833779,2.3330209065168835e-05,0.9832288951793348,,0.64007
ENSG00000006659,LGALS14,DEE,41,0.8994466930498688,0.915934263638328,0.8564111048849763,0.408602111646708,5.557570681708621e-06,0.6463203588939235,,0.73522
ENSG00000006695,COX10,DEE,115,0.8040799809327297,0.0473226699804175,0.2365341875703289,0.0014770782637816,2.749604028617225e-05,0.2426605262030414,,0.71993
ENSG00000006704,GTF2IRD1,DEE,183,0.0633283868559856,0.836891237671309,0.5719465064673027,0.0564509982634602,0.0036720124098168,0.4479471540334896,,0.2314
