gene_id	gene_name	group	n_variants	p_constraint	p_pathogenicity	p_pLoF	p_const	p_unified
ENSG00000002822	MAD1L1	GGE	239	0.11291558192630553	0.167462874126474	0.9937935220568992	1.8109154464455095e-25	0.2145060625712846
ENSG00000002822	MAD1L1	NAFE	268	0.738406427223907	0.07531321252185381	0.2384817878416688	1.044462367939508e-13	0.19981290977740984
ENSG00000002834	LASP1	DEE	57	0.7857066043307495	0.4253272419581341	0.4408618378411042	3.0675266065373996e-22	0.807088074703458
ENSG00000002834	LASP1	EPI	67	0.6659890644174923	0.9585575570976134	0.12950346170869312	0.6982456838929669	0.4301908372001867
ENSG00000002834	LASP1	GGE	56	0.9456533665275952	0.47638717062234937	0.5778720838287489	2.058489072501308e-10	0.7444815913269226
ENSG00000002834	LASP1	NAFE	62	0.3255545717971491	0.8766859208825277	0.27474075539980475	3.099930190675433e-05	0.46693422064165235
ENSG00000002919	SNX11	DEE	50	0.9777658212173724	0.4658598218704748	0.9834380998506103	1.127990996452029e-18	0.9069122656611746
ENSG00000002919	SNX11	EPI	72	0.8488822455697458	0.837210099731168	0.27129127555708893	0.06343750296407999	0.7337104836801469
ENSG00000002919	SNX11	GGE	53	0.4090598222152937	0.9723254669504424	0.04964507380136063	7.563359930742477e-08	0.2221981802488597
ENSG00000002919	SNX11	NAFE	61	0.9308092605241934	0.7465296844563365	0.2245704090068617	0.0020025817988853943	0.6631813756027727
ENSG00000002933	TMEM176A	DEE	50	0.9776585029571381	0.6145596292732052	0.8366381354459381	8.245816891109592e-18	0.9589675406823224
ENSG00000002933	TMEM176A	EPI	64	0.8269542402573181	0.8199350099777413	0.5047018896222966	0.15949041996881339	0.8870887676918086
