gene_id	gene_name	g4e	p_unified	epi25_min_p	meta_sig
ENSG00000012124	CD22	False	0.3609123361720121	0.11148	False
ENSG00000012171	SEMA3B	False	0.3777286862797675	0.15685	False
ENSG00000012223	LTF	False	0.031622783796617815	0.038169	False
ENSG00000012232	EXTL3	False	0.8830367651563779	0.35149	False
ENSG00000012504	NR1H4	False	0.2679271694414521	0.49762	False
ENSG00000012660	ELOVL5	False	0.007869928194167347	0.166	False
ENSG00000012779	ALOX5	False	0.08629648013078323	0.36555	False
ENSG00000012822	CALCOCO1	False	0.03336278447529429	0.051219	False
ENSG00000012963	UBR7	True	0.5544748658059434	0.36933	False
ENSG00000013016	EHD3	False	0.03641484648358353	0.44623	False
ENSG00000013275	PSMC4	False	0.07857879671455156	0.055598	False
ENSG00000013288	MAN2B2	False	0.36582766686810364	0.075318	False
ENSG00000013293	SLC7A14	False	0.5268101586465713	0.31798	False
ENSG00000013306	SLC25A39	False	0.11124452417308754	0.22332	False
ENSG00000013364	MVP	False	0.1495358418849773	0.33557	False
ENSG00000013374	NUB1	False	0.34345054936770314	0.14525	False
ENSG00000013375	PGM3	False	0.05927540168544509	0.021313	False
ENSG00000013392	RWDD2A	False	0.49826371923121937	0.49725	False
ENSG00000013441	CLK1	False	0.04458855797292278	0.32792	False
ENSG00000013503	POLR3B	True	0.0004025638642301886	0.039191	False
ENSG00000013523	ANGEL1	False	0.08150697534444856	0.22995	False
ENSG00000013561	RNF14	False	0.188152811919854	0.6203	False
ENSG00000013573	DDX11	False	0.04142066606523038	0.0065566	False
ENSG00000013583	HEBP1	False	0.2291427471485577	0.27629	False
ENSG00000013588	GPRC5A	False	0.011072931222428396	0.14667	False
ENSG00000013725	CD6	False	0.400641012400187	0.14836	False
ENSG00000013810	TACC3	False	0.20178241901529145	0.56083	False
ENSG00000014123	UFL1	False	0.7059754325933996	0.33372	False
ENSG00000014138	POLA2	False	0.1692122889472162		False
ENSG00000014164	ZC3H3	False	0.16935311667416722	0.17425	False
ENSG00000014216	CAPN1	False	0.1216246910373065	0.31317	False
ENSG00000014641	MDH1	True	0.3172700212826976	0.46534	False
ENSG00000014824	SLC30A9	False	0.2773323428006599	0.28025	False
ENSG00000014914	MTMR11	False	0.4869137263461203	0.039714	False
ENSG00000014919	COX15	True	0.266863527202013	0.36081	False
ENSG00000015133	CCDC88C	True	0.45193056365395357	0.36381	False
ENSG00000015153	YAF2	False	0.019256122994538827	0.1485	False
ENSG00000015171	ZMYND11	True	0.029077172659982775	0.031212	False
ENSG00000015413	DPEP1	False	0.2377157139086735	0.29656	False
ENSG00000015475	BID	False	0.0032079154405480073	0.31388	False
ENSG00000015520	NPC1L1	False	0.14408723326093492	0.40367	False
ENSG00000015532	XYLT2	False	0.4834622304442081	0.24464	False
ENSG00000015592	STMN4	False	0.17761934589658157	0.35091	False
ENSG00000015676	NUDCD3	False	0.09005818201207079	0.049538	False
ENSG00000016082	ISL1	False	0.3841115296303609	0.54127	False
ENSG00000016391	CHDH	False	0.3930714980393156	0.275	False
ENSG00000016402	IL20RA	False	0.07418718456156331	0.59279	False
ENSG00000016490	CLCA1	False	0.4606922037511578	0.26404	False
ENSG00000016602	CLCA4	False	0.6832320186387062	0.7163	False
ENSG00000016864	GLT8D1	False	0.1845680102533952	0.0080437	False
